PROPIEDAD,DESCRIPCIÓN
Tipo de Vehículo,Automóvil 
Tipo de Vehículo,Bus
Tipo de Vehículo,Buseta
Tipo de Vehículo,Camión
Tipo de Vehículo,Camioneta
Tipo de Vehículo,Campero
Tipo de Vehículo,Microbús
Tipo de Vehículo,Tractocamión 
Tipo de Vehículo,Motocicleta
Tipo de Vehículo,Motocarro
Tipo de Vehículo,Mototriciclo
Tipo de Vehículo,Cuatrimoto
Tipo de Vehículo,Volqueta
Tipo de Vehículo,Ciclomotor
Tipo de Vehículo,Cuadriciclo
